Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,2.68945227636862E-17,-3.12963187120367E-17,0.05549784707376,0,0,0,3.93487087508394,0.0164037485855414,2.11758236813575E-18,1.3663472170847E-18,0.0164037485855414,1.07063402749761E-18,0.0221360581901392,0,0,0,0,0,0,package://face_sim/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://face_sim/meshes/base.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck1,3.78327698062032E-08,0.0168408963316987,5.45042140707771E-09,0,0,0,0.0428358252622499,1.30351951431094E-05,-2.03695825045151E-11,-7.85469796213671E-12,1.97675280969146E-05,-3.25276988063011E-12,2.58770182246373E-05,0,0,0,0,0,0,package://face_sim/meshes/neck1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://face_sim/meshes/neck1.STL,,neck1-1,Origin_base_neck1,Axis_base_neck1,base_neck1,continuous,0,0,0.25,1.5707963267949,0,0,base,0,1,0,,,,,,,,,,,,
neck2,-3.23137594229857E-18,0,6.05975968505346E-18,0,0,0,0.0244634954084936,3.63679938779916E-06,-1.10290748340399E-24,-3.68418760233391E-22,3.4304249146369E-06,-1.10290748340402E-24,3.19316921944392E-06,0,0,0,0,0,0,package://face_sim/meshes/neck2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://face_sim/meshes/neck2.STL,,neck2-1,Origin_neck1_neck2,Axis_neck1_neck2,neck1_neck2,continuous,0,0.0350000000000001,0,0,0,0,neck1,1,0,0,,,,,,,,,,,,
head,-0.00186105002367657,0.0481968547489414,0.00556034985279367,0,0,0,2.18249041681575,0.0128206100700187,7.48963753742721E-05,-6.95247965776619E-05,0.0102956103106155,0.0017547063452221,0.0105148181384294,0,0,0,0,0,0,package://face_sim/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://face_sim/meshes/head.STL,,neck3-1;sim_face-1;eye_base-1;eyelid_block-1;eyelid_block-2,Origin_neck2_head,Axis_neck2_head,neck2_head,continuous,0,0,0,0,0,0,neck2,0,0,1,,,,,,,,,,,,
Reyeaxes,0,0,0,0,0,0,0.000168982297150257,9.5699111340672E-10,5.05917929396829E-27,-3.09258127711156E-26,1.37115774490498E-09,4.57047894118213E-26,9.5699111340672E-10,0,0,0,0,0,0,package://face_sim/meshes/Reyeaxes.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://face_sim/meshes/Reyeaxes.STL,,eyeball_axes-1,Origin_R_eye_yaw,Axis_R_eye_yaw,R_eye_yaw,fixed,-0.0359999999999999,0.0187967300000004,0.0706499999999992,1.5707963267949,0,3.14159265358979,head,0,0,0,,,,,,,,,,,,
Reye,-0.0316929313406804,-0.0457141390326501,0.0349413772851305,0,0,0,0.0173592310096349,1.51844392353641E-06,6.81001989489091E-11,1.19254317120161E-11,1.57493985123585E-06,-2.55363289264772E-10,1.52471264065621E-06,0,0,0,0,0,0,package://face_sim/meshes/Reye.STL,1,1,1,1,0,0,0,0,0,0,package://face_sim/meshes/Reye.STL,,sim眼球-1,Origin_R_eye_pitch,Axis_R_eye_pitch,R_eye_pitch,fixed,0,0,0,0,0,0,Reyeaxes,0,0,0,,,,,,,,,,,,
R_iris,-0.036531,-0.053897,0.040276,0,0,0,0.01506,1.3905E-06,6.8001E-11,1.1925E-11,1.363E-06,-2.5539E-10,1.3902E-06,0,0,0,0,0,0,package://face_sim/meshes/R_iris.STL,0,0,0,0,0,0,0,0,0,0,package://face_sim/meshes/R_iris.STL,,sim眼球-4,Origin_Riris,Axis_Riris,Riris,fixed,0,0,0,0,0,0,Reye,0,0,0,,,,,,,,,,,,
Leyeaxes,6.93889390390723E-18,0,0,0,0,0,0.000168982297150257,9.5699111340672E-10,-9.67988906185239E-27,-3.75339530698154E-26,1.37115774490497E-09,1.63376403561861E-26,9.56991113406718E-10,0,0,0,0,0,0,package://face_sim/meshes/Leyeaxes.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://face_sim/meshes/Leyeaxes.STL,,eyeball_axes-2,Origin_L_eye_yaw,Axis_L_eye_yaw,L_eye_yaw,fixed,0.0360000000000001,0.0187967300000004,0.0706499999999992,1.5707963267949,0,3.14159265358979,head,0,0,0,,,,,,,,,,,,
Leye,-0.0316929313406804,-0.0457141390326501,0.0349413772851306,0,0,0,0.0173592310096348,1.51844392353641E-06,6.81001989491498E-11,1.19254317122845E-11,1.57493985123585E-06,-2.55363289264736E-10,1.52471264065621E-06,0,0,0,0,0,0,package://face_sim/meshes/Leye.STL,1,1,1,1,0,0,0,0,0,0,package://face_sim/meshes/Leye.STL,,sim眼球-2,Origin_L_eye_pitch,Axis_L_eye_pitch,L_eye_pitch,fixed,0,0,0,0,0,0,Leyeaxes,0,0,0,,,,,,,,,,,,
L_iris,-0.036531,-0.053897,0.040276,0,0,0,0.01506,1.3905E-06,6.8001E-11,1.1925E-11,1.363E-06,-2.5539E-10,1.3902E-06,0,0,0,0,0,0,package://face_sim/meshes/L_iris.STL,0,0,0,1,0,0,0,0,0,0,package://face_sim/meshes/L_iris.STL,,sim眼球-5,Origin_Liris,,Liris,fixed,0,0,0,0,0,0,Leye,0,0,0,,,,,,,,,,,,
R_upper_eyelid,0.00384852234570486,0.0126171384666969,0.0030925067360336,0,0,0,0.00110158958912805,5.51640247124685E-08,3.60659370225095E-08,9.0394436952125E-09,1.69706059499129E-07,2.4522686481223E-09,1.95724387249401E-07,0,0,0,0,0,0,package://face_sim/meshes/R_upper_eyelid.STL,1,1,1,1,0,0,0,0,0,0,package://face_sim/meshes/R_upper_eyelid.STL,,eyelidup_sim-1,Origin_Ruppereyelid,Axis_Ruppereyelid,Ruppereyelid,fixed,-0.0359999999999999,0.0187967300000004,0.0706499999999992,0,0,0,head,0,0,0,,,,,,,,,,,,
L_upper_eyelid,0.00384898228284601,0.0126175888983564,-0.00309228256802278,0,0,0,0.00110164402832034,5.51490631767431E-08,3.60602599286577E-08,-9.04224167977674E-09,1.69710503833023E-07,-2.4484059935919E-09,1.95715726424481E-07,0,0,0,0,0,0,package://face_sim/meshes/L_upper_eyelid.STL,1,1,1,1,0,0,0,0,0,0,package://face_sim/meshes/L_upper_eyelid.STL,,eyelidup_sim-2,Origin_Luppereyelid,Axis_Luppereyelid,Luppereyelid,fixed,0.0360000000000001,0.0187967300000004,0.0706499999999992,3.14159265358979,0,-3.14159265358976,head,0,0,0,,,,,,,,,,,,
R_lower_eyelid,0.0123941558852077,0.001532484086135,0.0100343804552899,0,0,0,0.0014920108135339,7.80910415897716E-08,3.72727282660142E-08,7.36352061147401E-08,2.80961259377705E-07,-8.52229702830172E-09,2.42070759773108E-07,0,0,0,0,0,0,package://face_sim/meshes/R_lower_eyelid.STL,1,1,1,1,0,0,0,0,0,0,package://face_sim/meshes/R_lower_eyelid.STL,,eyelid-lower-sim-1,Origin_Rlowereyelid,Axis_Rlowereyelid,Rlowereyelid,fixed,-0.0359999999999999,0.0187967300000004,0.0706499999999992,1.5707963267949,0,0,head,0,0,0,,,,,,,,,,,,
L_lower_eyelid,0.0123941551092204,0.00153249738560822,-0.0100343478238727,0,0,0,0.00149201318753432,7.80916043091218E-08,3.72727275823816E-08,-7.36353432204461E-08,2.80961912265365E-07,8.52210104288812E-09,2.4207101204463E-07,0,0,0,0,0,0,package://face_sim/meshes/L_lower_eyelid.STL,1,1,1,1,0,0,0,0,0,0,package://face_sim/meshes/L_lower_eyelid.STL,,eyelid-lower-sim-2,Origin_Llowereyelid,Axis_Llowereyelid,Llowereyelid,fixed,0.0360000000000001,0.0187967300000004,0.0706499999999992,1.5707963267949,0,3.14159265358979,head,0,0,0,,,,,,,,,,,,
